run_id,code_version,source,model,start_time,end_time,duration_s,n_train,n_test,train_r2,test_r2,train_rmse,test_rmse
20260715T085625Z,no-git-repo:v0.1.0,scripts/task4_model_tracking.py,"LinearRegression (numpy OLS, sklearn-API compatible)",2026-07-15T08:56:25.346031+00:00,2026-07-15T08:56:25.939859+00:00,0.594,85485,21372,0.84994,0.844794,0.198999,0.728892
20260722T130326Z,no-git-repo:v0.1.0,scripts/task4_model_tracking.py,"LinearRegression (numpy OLS, sklearn-API compatible)",2026-07-22T13:03:26.687352+00:00,2026-07-22T13:03:27.167289+00:00,0.48,85485,21372,0.84994,0.844794,0.198999,0.728892
